County,Dist,District,"FY19 
K to 12 Aid","Equalization
Aid","Educational
Adequacy Aid","Proj FY20
Choice Aid","Transportation
Aid","Special
Education Aid","Security
Aid","Adjustment
Aid",Vocational Expansion Stabilization Aid,"FY20 
K to 12 Aid","FY19- FY20
K to 12 Aid
Difference",Aid Percent Difference
Camden,1720,Gibbsboro Boro,"1,368,663","857,242",0,0,"20,818","163,500","25,761","284,300",0,"1,351,621","-17,042",-1.25%
Camden,1770,Gloucester City,"29,595,537","19,340,047",0,0,"233,679","1,108,064","759,837","8,476,977",0,"29,918,604","323,067",1.09%
Camden,1780,Gloucester Twp,"51,917,671","46,375,401",0,0,"1,634,840","3,992,445","487,009",0,0,"52,489,695","572,024",1.10%
Camden,1880,Haddon Heights Boro,"1,721,390","446,874",0,"484,496","118,664","501,850","81,344","83,524",0,"1,716,752","-4,638",-0.27%
Camden,1890,Haddon Twp,"8,198,876","7,088,284",0,0,0,"1,120,440",0,0,0,"8,208,724","9,848",0.12%
Camden,1900,Haddonfield,"1,508,822",0,0,0,"183,654","1,299,439","200,857","1,624",0,"1,685,574","176,752",11.71%
Camden,2130,Hi Nella,"1,039,658","991,305",0,0,"37,318","118,572","42,488",0,0,"1,189,683","150,025",14.43%
Camden,2540,Laurel Springs Boro,"2,100,793","1,736,208",0,"165,642","22,482","239,471","53,391",0,0,"2,217,194","116,401",5.54%
Camden,2560,Lawnside Boro,"4,082,658","3,569,350",0,"110,918","101,997","317,335","150,662",0,0,"4,250,262","167,604",4.11%
Camden,2670,Lindenwold Boro,"26,981,830","25,683,742",0,"246,934","834,376","1,431,101","1,217,920",0,0,"29,414,073","2,432,243",9.01%
Camden,2890,Magnolia Boro,"3,210,064","2,913,389",0,0,"16,028","244,021","98,488",0,0,"3,271,926","61,862",1.93%
Camden,3110,Merchantville Boro,"3,145,010","2,260,331",0,"457,597","111,609","446,058","133,028",0,0,"3,408,623","263,613",8.38%
Camden,3420,Mount Ephraim Boro,"4,145,226","3,361,546",0,"231,530","45,548","409,172","109,498",0,0,"4,157,294","12,068",0.29%
Camden,3770,Oaklyn Boro,"2,539,339","2,128,979",0,"49,361","16,236","275,669","48,228",0,0,"2,518,473","-20,866",-0.82%
Camden,4060,Pennsauken Twp,"51,803,617","45,732,007",0,0,"2,186,740","3,608,865","1,929,981",0,0,"53,457,593","1,653,976",3.19%
Camden,4110,Pine Hill Boro,"17,672,150","15,497,104",0,"421,448","588,996","1,283,209","536,169",0,0,"18,326,926","654,776",3.71%
Camden,4590,Runnemede Boro,"5,252,852","4,579,826",0,"105,278","166,787","481,898","175,149",0,0,"5,508,938","256,086",4.88%
Camden,4790,Somerdale Boro,"3,233,018","2,663,151",0,"241,542","31,147","355,717","84,322",0,0,"3,375,879","142,861",4.42%
Camden,5035,Sterling High School Dist,"7,588,451","6,070,888",0,"1,024,632","50,358","659,492","171,469",0,0,"7,976,839","388,388",5.12%
Camden,5080,Stratford Boro,"4,814,012","4,086,736",0,"235,217","202,610","437,575","137,797",0,0,"5,099,935","285,923",5.94%
Camden,5400,Voorhees Twp,"5,455,083","2,727,088",0,0,"602,456","1,699,913","236,331",0,0,"5,265,788","-189,295",-3.47%
Camden,5560,Waterford Twp,"12,599,907","10,246,188",0,"319,817","632,435","981,906","200,265",0,0,"12,380,611","-219,296",-1.74%
Camden,5820,Winslow Twp,"43,913,242","38,341,995",0,0,"1,156,164","3,378,505","1,389,418",0,0,"44,266,082","352,840",0.80%
Camden,5900,Woodlynne Boro,"7,461,899","7,079,084",0,0,"54,174","479,936","249,492",0,0,"7,862,686","400,787",5.37%
Cape May,170,Avalon Boro,"73,041",0,0,0,"28,649","36,286","4,841",0,0,"69,776","-3,265",-4.47%
Cape May,710,Cape May City,"548,386",0,0,"172,346","5,993","78,905","40,306","217,791",0,"515,341","-33,045",-6.03%
Cape May,720,Cape May Co Vocational,"1,396,049",0,0,0,0,"447,941","79,387","766,181","102,540","1,396,049",0,0.00%
Cape May,730,Cape May Point,"25,484",0,0,0,"1,796","5,348",368,"15,682",0,"23,194","-2,290",-8.99%
Cape May,1080,Dennis Twp,"5,805,257","1,063,893",0,0,"653,808","504,067","102,940","2,883,135",0,"5,207,843","-597,414",-10.29%
Cape May,2820,Lower Cape May Regional,"9,528,612","95,936",0,"1,216,728","1,178,704","862,052","350,566","5,037,595",0,"8,741,581","-787,031",-8.26%
Cape May,2840,Lower Twp,"9,894,237","5,202,298",0,"823,478","836,392","912,905","492,388","679,491",0,"8,946,952","-947,285",-9.57%
Cape May,3130,Middle Twp,"13,162,732","6,227,922",0,"235,912","1,570,041","1,437,131","608,776","2,689,853",0,"12,769,635","-393,097",-2.99%
Cape May,3680,North Wildwood City,"637,193",0,0,0,"49,582","156,877","67,830","314,153",0,"588,442","-48,751",-7.65%
Cape May,3780,Ocean City,"3,949,402",0,0,"2,629,127","252,189","805,507","203,070",0,0,"3,889,893","-59,509",-1.51%
Cape May,4700,Sea Isle City,"245,329",0,0,0,"96,010","65,411","16,305","55,553",0,"233,279","-12,050",-4.91%
Cape May,5060,Stone Harbor Boro,"52,341",0,0,0,"19,899","23,364","2,797","4,726",0,"50,786","-1,555",-2.97%
Cape May,5340,Upper Twp,"9,817,125","4,307,772",0,"452,239","1,445,583","1,280,868","179,311","1,548,830",0,"9,214,603","-602,522",-6.14%
Cape May,5610,West Cape May Boro,"647,503",0,0,"539,404","5,258","61,104","11,934",0,0,"617,700","-29,803",-4.60%
Cape May,5700,West Wildwood,"42,928",0,0,0,"6,184","32,825","3,044",0,0,"42,053",-875,-2.04%
Cape May,5790,Wildwood City,"4,993,657","863,844",0,0,"119,536","542,470","306,033","2,931,184",0,"4,763,067","-230,590",-4.62%
Cape May,5800,Wildwood Crest Boro,"693,621",0,0,"188,584","52,476","177,729","49,788","194,696",0,"663,273","-30,348",-4.38%
Cape May,5840,Woodbine Boro,"2,929,570","1,806,741",0,"21,250","164,200","150,703","94,856","685,541",0,"2,923,291","-6,279",-0.21%
Cumberland,540,Bridgeton City,"86,812,555","78,882,015","3,901,078",0,"1,037,407","4,870,215","2,711,965",0,0,"91,402,680","4,590,125",5.29%
