Population,Zip
3863,7852
12876,7853
3557,7856
3303,7857
26490,7860
4366,7863
2102,7865
21588,7866
25385,7869
0,7870
20858,7871
8568,7874
10159,7876
918,7878
73,7880
6,7881
14545,7882
10174,7885
22874,7901
26397,7920
7945,7921
12200,7922
7658,7924
97,7926
3466,7927
19140,7928
8385,7930
3545,7931
10601,7932
3465,7933
1547,7934
486,7935
11236,7936
314,7939
16915,7940
9711,7945
3109,7946
19719,7950
43760,7960
0,7961
137,7970
12054,7974
652,7976
611,7977
608,7979
2175,7980
9246,7981
1064,8001
22025,8002
30845,8003
12412,8004
22428,8005
563,8006
5416,8007
6926,8008
12470,8009
11517,8010
80,8011
39703,8012
594,8014
20645,8015
33162,8016
1031,8019
2505,8020
45145,8021
8962,8022
464,8023
2273,8026
4860,8027
20121,8028
4859,8029
13193,8030
11558,8031
15845,8033
18187,8034
7567,8035
5794,8036
23669,8037
107,8038
55,8039
1229,8041
83,8042
29261,8043
2934,8045
31731,8046
12516,8048
5613,8049
24629,8050
10924,8051
19197,8052
45663,8053
41848,8054
27280,8055
4437,8056
20827,8057
5684,8059
24648,8060
2876,8061
15762,8062
3120,8063
171,8064
7401,8065
8484,8066
1833,8067
6943,8068
12994,8069
12953,8070
9685,8071
162,8072
262,8073
15,8074
29311,8075
18748,8077
8436,8078
10812,8079
35672,8080
50784,8081
9559,8083
7015,8084
19033,8085
7378,8086
24104,8087
24380,8088
4332,8089
8924,8090
5361,8091
3446,8092
10576,8093
39747,8094
180,8095
35116,8096
3197,8097
9129,8098
7382,8102
14646,8103
24364,8104
29369,8105
9907,8106
13910,8107
17826,8108
22814,8109
18502,8110
10234,8201
2018,8202
9480,8203
18543,8204
27385,8205
17570,8210
170,8212
13962,8215
72,8217
7099,8221
3851,8223
669,8224
8649,8225
11640,8226
5633,8230
19238,8232
42491,8234
3233,8240
1010,8241
3003,8242
1861,8243
11001,8244
158,8246
760,8247
36,8248
9708,8251
13690,8260
8778,8270
47895,8302
2055,8310
2155,8311
7787,8312
2986,8314
324,8316
1446,8317
12223,8318
1275,8319
0,8320
101,8321
10204,8322
1005,8323
670,8324
1586,8326
2180,8327
1697,8328
192,8329
28371,8330
36592,8332
716,8340
2205,8341
5267,8343
5854,8344
819,8345
1252,8346
521,8348
2713,8349
853,8350
591,8352
593,8353
43402,8360
18006,8361
39591,8401
6385,8402
1066,8403
10681,8406
6404,8501
11628,8502
